ONS_CENSUS_2011,Local.Authority,LA.type,LA_POPULATION,LA_AREA_HEC,COUNTY_POPULATION,LA_POPULATION_OVER_COUNTY_POPULATION,CLA_16_17,CLA_16_24,CLA_18_24,,,
E08000019,Sheffield,Unitary,552698,36794.79,NA,NA,,,,,,
E08000022,North Tyneside,NA,200801,8239.1,NA,NA,,,,,,
E09000021,Kingston upon Thames,Unitary,160060,3724.69,NA,NA,,,,,,
E08000023,South Tyneside,NA,148127,6441.31,NA,NA,,,,,,
E08000026,Coventry,NA,316960,9864.42,NA,NA,,,,,,
E08000024,Sunderland,NA,275506,13746.17,NA,NA,,,,,,
E08000025,Birmingham,Unitary,1073045,26778.82,NA,NA,,,,,,
E08000027,Dudley,NA,312925,9795.66,NA,NA,,,,,,
E09000001,City of London,Unitary,7375,289.78,NA,NA,,,,,,
E08000028,Sandwell,NA,308063,8556.73,NA,NA,,,,,,
E08000029,Solihull,Unitary,206674,17828.78,NA,NA,,,,,,
E09000022,Lambeth,Unitary,303086,2682.14,NA,NA,,,,,,
E08000030,Walsall,NA,269323,10395.49,NA,NA,,,,,,
E09000002,Barking and Dagenham,Unitary,185911,3609.04,NA,NA,,,,,,
E08000031,Wolverhampton,NA,249470,6943.95,NA,NA,,,,,,
E08000032,Bradford,Unitary,522452,36641.72,NA,NA,,,,,,
E09000005,Brent,Unitary,311215,4323.52,NA,NA,,,,,,
E08000033,Calderdale,Unitary,203826,36392.21,NA,NA,,,,,,
E08000034,Kirklees,NA,422458,40859.65,NA,NA,,,,,,
E08000035,Leeds,Unitary,751485,55172.44,NA,NA,,,,,,
E08000036,Wakefield,Unitary,325837,33861.24,NA,NA,,,,,,
E08000020,Gateshead,NA,200214,14234.74,NA,NA,,,,,,
E09000003,Barnet,Unitary,356386,8673.72,NA,NA,,,,,,
E09000004,Bexley,Unitary,231997,6055.95,NA,NA,,,,,,
E09000006,Bromley,NA,309392,15015.45,NA,NA,,,,,,
E09000007,Camden,Unitary,220338,2179.6,NA,NA,,,,,,
E09000008,Croydon,Unitary,363378,8651.89,NA,NA,,,,,,
E09000011,Greenwich,NA,254557,4734.38,NA,NA,,,,,,
E09000012,Hackney,NA,246270,1906.35,NA,NA,,,,,,
E09000013,Hammersmith and Fulham,Unitary,182493,1640.4,NA,NA,,,,,,
E09000016,Havering,Unitary,237232,11236.35,NA,NA,,,,,,
E09000025,Newham,NA,307984,3622.36,NA,NA,,,,,,
E09000017,Hillingdon,Unitary,273936,11569.87,NA,NA,,,,,,
